timestamp,Robin_education_Derick,Robin_education_Julius,Robin_education_Lizbeth,Robin_education_Jasper,Robin_education_Terrance,Robin_education_Takako,Robin_education_Kristopher,Robin_education_Billi,Robin_office_Addie,Robin_office_Maryann,Robin_office_Serena,Robin_office_Antonina,Robin_lodging_Dorthy,Robin_lodging_Elmer,Robin_lodging_Oliva,Robin_lodging_Celia,Robin_lodging_Renea,Robin_lodging_Janie
2016-01-01 00:00:00,529.08935,117.2,118.2,157.9,134.3,74.9,118.8,9.3,7.1,109.8,18.8,397.6,14.3,33.1,17.7,17.6,31.2,82.5987
2016-01-01 01:00:00,449.5,234.4,90.4,137.3,267.1,151.1,93.0,17.9,13.8,219.4,37.7,319.9,27.3,68.5,37.1,38.2,64.0,184.2974
2016-01-01 02:00:00,451.5,234.8,92.0,137.5,268.7,150.2,93.8,18.3,13.7,221.6,37.5,317.6,25.7,69.2,37.8,39.4,61.4,179.6974
2016-01-01 03:00:00,445.0,236.4,91.0,137.7,267.7,148.2,92.9,18.3,13.6,221.8,37.5,312.9,22.4,65.5,35.1,38.7,61.6,167.6974
2016-01-01 04:00:00,464.0,239.8,91.8,137.4,267.8,149.6,93.8,16.6,13.9,229.4,37.2,313.1,20.1,67.7,27.5,39.7,57.6,155.2974
2016-01-01 05:00:00,464.5,237.6,91.0,138.9,267.3,149.8,93.7,15.4,13.6,239.4,37.0,315.7,18.6,63.5,25.2,37.6,56.4,171.1974
2016-01-01 06:00:00,485.0,247.2,89.0,139.7,262.9,152.7,94.7,17.0,13.6,234.5,38.0,323.7,17.4,61.3,24.3,37.4,65.5,164.9974
2016-01-01 07:00:00,492.5,281.0,74.0,139.3,269.4,156.2,94.1,16.1,13.2,230.2,45.5,347.8,19.5,58.8,25.7,37.2,63.4,142.2974
2016-01-01 08:00:00,486.0,300.4,72.4,138.9,271.9,155.1,93.9,38.2,13.5,232.9,46.6,350.8,22.1,59.5,26.9,35.7,60.3,170.2974
2016-01-01 09:00:00,494.0,293.8,73.4,141.0,280.4,158.4,93.5,41.8,13.1,233.3,46.8,352.9,26.1,62.1,28.3,37.2,62.6,158.3974
2016-01-01 10:00:00,473.5,295.6,73.8,140.7,276.9,157.0,93.6,41.8,13.5,250.4,49.3,354.6,28.7,65.0,34.4,38.3,62.6,171.0974
2016-01-01 11:00:00,492.5,292.2,74.6,141.0,279.2,157.3,93.6,43.7,13.6,247.3,48.9,360.2,36.9,74.3,36.6,41.9,66.2,177.4974
2016-01-01 12:00:00,484.0,293.6,75.8,139.7,270.8,158.2,91.5,43.7,13.5,234.7,49.4,363.2,41.5,79.4,38.8,47.0,68.1,174.9974
2016-01-01 13:00:00,491.0,289.4,75.8,138.0,274.2,158.7,91.9,44.1,13.5,234.3,48.5,359.7,48.0,78.3,38.5,47.4,65.5,180.3974
2016-01-01 14:00:00,492.5,287.0,75.2,139.8,270.2,158.8,94.6,44.8,13.3,226.9,48.7,356.8,40.8,86.5,37.5,44.5,67.9,181.3974
2016-01-01 15:00:00,466.5,295.0,75.8,137.4,269.4,160.9,96.8,46.9,13.8,224.7,49.8,358.8,38.0,78.3,44.2,42.5,68.9,178.1974
